model,kernelbench_level,metric,value_pct,evidence_type,source,notes
Llama-3.1-70B Instruct,1,correct_one_shot,26,printed_table_value,"KernelBench arXiv 2502.10517 Table 8, Single Attempt (Baseline) row, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]","fast_0 for a single greedy attempt (temp=0) = one-shot functional correctness; NVIDIA L40S; paper v1 accessed 2026-07-13. Known discrepancy: Table 9 prints 27 for this cell; Table 8's 26 is used"
Llama-3.1-70B Instruct,2,correct_one_shot,0,printed_table_value,"KernelBench arXiv 2502.10517 Table 8, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
Llama-3.1-70B Instruct,3,correct_one_shot,0,printed_table_value,"KernelBench arXiv 2502.10517 Table 8, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
Llama-3.1-70B Instruct,1,correct_and_faster_than_eager,3,printed_table_value,"KernelBench arXiv 2502.10517 Table 1, Single Attempt (Baseline) row, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]","fast_1 = correct AND faster than PyTorch Eager; NVIDIA L40S"
Llama-3.1-70B Instruct,2,correct_and_faster_than_eager,0,printed_table_value,"KernelBench arXiv 2502.10517 Table 1, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
Llama-3.1-70B Instruct,3,correct_and_faster_than_eager,0,printed_table_value,"KernelBench arXiv 2502.10517 Table 1, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
DeepSeek V3,1,correct_one_shot,43,printed_table_value,"KernelBench arXiv 2502.10517 Table 8, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
DeepSeek V3,2,correct_one_shot,6,printed_table_value,"KernelBench arXiv 2502.10517 Table 8, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
DeepSeek V3,3,correct_one_shot,30,printed_table_value,"KernelBench arXiv 2502.10517 Table 8, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
DeepSeek V3,1,correct_and_faster_than_eager,6,printed_table_value,"KernelBench arXiv 2502.10517 Table 1, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
DeepSeek V3,2,correct_and_faster_than_eager,4,printed_table_value,"KernelBench arXiv 2502.10517 Table 1, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
DeepSeek V3,3,correct_and_faster_than_eager,8,printed_table_value,"KernelBench arXiv 2502.10517 Table 1, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
OpenAI o1,1,correct_one_shot,55,printed_table_value,"KernelBench arXiv 2502.10517 Table 9, Baseline fast_0 column, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
OpenAI o1,2,correct_one_shot,56,printed_table_value,"KernelBench arXiv 2502.10517 Table 9, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
OpenAI o1,3,correct_one_shot,56,printed_table_value,"KernelBench arXiv 2502.10517 Table 9, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
OpenAI o1,1,correct_and_faster_than_eager,10,printed_table_value,"KernelBench arXiv 2502.10517 Table 9, Baseline fast_1 column; matches main-text fast_1 table, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
OpenAI o1,2,correct_and_faster_than_eager,24,printed_table_value,"KernelBench arXiv 2502.10517 Table 9, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
OpenAI o1,3,correct_and_faster_than_eager,12,printed_table_value,"KernelBench arXiv 2502.10517 Table 9, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
DeepSeek R1,1,correct_one_shot,67,printed_table_value,"KernelBench arXiv 2502.10517 Table 8, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
DeepSeek R1,2,correct_one_shot,62,printed_table_value,"KernelBench arXiv 2502.10517 Table 8, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
DeepSeek R1,3,correct_one_shot,8,printed_table_value,"KernelBench arXiv 2502.10517 Table 8, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
DeepSeek R1,1,correct_and_faster_than_eager,12,printed_table_value,"KernelBench arXiv 2502.10517 Table 1, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
DeepSeek R1,2,correct_and_faster_than_eager,36,printed_table_value,"KernelBench arXiv 2502.10517 Table 1, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
DeepSeek R1,3,correct_and_faster_than_eager,2,printed_table_value,"KernelBench arXiv 2502.10517 Table 1, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]",
aggregate (100-kernel error-analysis sample),mixed,compiles,83,printed_sample_count,"KernelBench arXiv 2502.10517 Appendix B, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]","CONTEXT ONLY, NOT PLOTTED as a per-model bar: the paper prints no per-LLM compile/execution rates (Figure 3 is an unlabeled chart). Sample of 100 generated kernels, not attributed to a single model: 17 compile errors, 10 runtime errors, 4 output-shape mismatches, 19 value mismatches, 50 correct"
aggregate (100-kernel error-analysis sample),mixed,executes,73,printed_sample_count,"KernelBench arXiv 2502.10517 Appendix B, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]","CONTEXT ONLY, NOT PLOTTED as a per-model bar"
aggregate (100-kernel error-analysis sample),mixed,correct,50,printed_sample_count,"KernelBench arXiv 2502.10517 Appendix B, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]","CONTEXT ONLY, NOT PLOTTED as a per-model bar"
OpenAI o1 / DeepSeek R1,all,total_incorrect_upper_bound,55,qualitative_bound,"KernelBench arXiv 2502.10517 Section 4.2, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]","QUALITATIVE BOUND, DO NOT USE AS BAR VALUE: total incorrect below 55% for reasoning models (o1, R1)"
other evaluated models,all,total_incorrect_lower_bound,70,qualitative_bound,"KernelBench arXiv 2502.10517 Section 4.2, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]","QUALITATIVE BOUND, DO NOT USE AS BAR VALUE: total incorrect above 70% for other models; gap driven by execution failures"
best models,all,matches_baseline_share_upper_bound,20,abstract_statement,"KernelBench arXiv 2502.10517 Abstract, https://arxiv.org/abs/2502.10517 [@OuyangEtAl2025KernelBench]","CROSS-CHECK ONLY, DO NOT PLOT: best models match the PyTorch baseline in fewer than 20% of cases"
