# Source: Christopher et al., "Instruction Set Migration at Warehouse Scale", arXiv:2510.14928, Figure 1
# ("Categories of commits in Google's x86 to Arm migration"). Transcribed from the figure image
# https://arxiv.org/html/2510.14928v1/x1.png (accessed 2026-07-13). Corpus: 38,156 commits, ~700K changed LoC.
# commits and total_loc are published values; pct_commits_derived and pct_loc_derived are DERIVED
# (value/total*100, totals 38,156 commits / 734,621 LoC; both column sums verified against the paper's
# stated totals). automation_commits_pct / automation_loc_pct are the published "Automation" column
# (fraction generated via large-scale changes, Sec 5.1). loc_per_commit is published as "median [90% CI]".
# NOTE on "expected vs recorded": the paper gives NO numeric expected/anticipated shares; the expectation
# (conventional wisdom that low-level code translation dominates) is stated only qualitatively (Sec 1, Sec 4.1).
category_id,group,category,commits,total_loc,loc_per_commit_median,loc_per_commit_ci90,pct_commits_derived,pct_loc_derived,automation_commits_pct,automation_loc_pct
1,Code Adaptation & Correction,Platform-Specific Conditional Code,236,16235,9,"[1, 330]",0.62,2.21,22,28
2,Code Adaptation & Correction,Intrinsic and Assembly Code Porting,74,4454,10,"[1, 209]",0.19,0.61,1,0
3,Code Adaptation & Correction,Data Representation & Alignment Fixes,38,2574,9,"[1, 324]",0.10,0.35,0,0
4,Code Adaptation & Correction,Memory Model & Concurrency Adjustments,12,49,2,"[2, 12]",0.03,0.01,0,0
5,Code Adaptation & Correction,Performance-Driven Code Optimization for Arm,18,2080,13,"[4, 337]",0.05,0.28,0,0
6,Test Adaptation & Configuration,"Test Logic, Data, and Assertion Modifications",276,37052,5,"[1, 147]",0.72,5.04,3,1
7,Test Adaptation & Configuration,Test Execution Environment & Scope,1303,13783,1,"[1, 37]",3.42,1.88,53,8
8,"Build, Deployment & Infrastructure Configuration","Build, Packaging & CI/CD Configuration",32204,139611,1,"[1, 9]",84.40,19.00,95,63
9,"Build, Deployment & Infrastructure Configuration",Borg & Runtime Environment Configuration,757,26581,10,"[1, 136]",1.98,3.62,1,0
10,"Build, Deployment & Infrastructure Configuration",Infrastructure Resource Management & Provisioning,381,32159,8,"[1, 163]",1.00,4.38,1,0
11,Supporting Processes & Tools,"Monitoring, Alerting & Performance Analysis",645,115343,16,"[1, 525]",1.69,15.70,0,0
12,Supporting Processes & Tools,Migration Tooling & Automation Development,644,125536,29,"[1, 808]",1.69,17.09,2,1
13,Supporting Processes & Tools,Documentation & Knowledge Management,369,24115,13,"[1, 260]",0.97,3.28,0,0
14,Supporting Processes & Tools,Rollbacks & Cleanup,940,163042,2,"[1, 200]",2.46,22.19,58,5
15,Supporting Processes & Tools,Specialized Service Configuration,119,22501,7,"[1, 747]",0.31,3.06,3,0
16,Supporting Processes & Tools,Release Qualification & Validation,123,8178,14,"[1, 284]",0.32,1.11,5,2
17,Uncategorized,Uncategorized,17,1328,39,"[2, 223]",0.04,0.18,65,84
