Company,Product,Label,Country,PeakPerformance,Precision,Power,Technology,IorT,FormFactor,Updated,Notes,ReferenceURL,Reference
Achronix,VectorPath S7t-VG6,Achronix,USA,8.60E+13,int8,300,FPGA,inference,Card,6/12/20,Only offers RTL for making your own chip - 9-Jul-2025,https://www.eetimes.com/fpga-acceleration-card-delivers-on-bandwidth-speed-and-flexibility/,roos2019fpga
Adapteva,Epiphany-V,Adaptiva,USA,2.05E+12,fp32,29.26,manycore,inference,Chip,6/9/20,,https://arxiv.org/abs/1610.01832;https://doi.org/10.1109/ACSSC.2014.7094761,olofsson2016epiphany;olofsson2015kickstarting
Aimotive,aiWare3,Aimotive,Hungary,1.00E+14,int8,25,tensor,inference,Chip,6/2/20,Only offers RTL for making your own chip,https://aimotive.com/news/content/1223,aimotive2018aiware3
"AIStorm	",AIStorm,AIStorm,USA,2.50E+12,int8,0.225,analog,inference,Chip,6/9/20,Claim to do some of the math up at the sensor in analog domain. Originally came to the embedded space scene with biometric sensors and processing.,https://www.eetimes.com/startup-accelerates-ai-at-the-sensor/,merritt2019aistorm
Alibaba,HanGuang 800,Alibaba,China,3.14252E+14,int8,157.126,tensor,inference,Card,6/14/20,no peak,https://medium.com/syncedreview/alibabas-new-ai-chip-can-process-nearly-80k-images-per-second-63412dec22a3,peng2019alibaba
AlphaIC,RAP-C,AlphaIC,USA,6.00E+13,int8,40,dataflow,inference,System,6/2/20,No longer in business - 9-Jul-2025,https://www.alphaics.ai/alphaics-introduces-worlds-most-powerful-ai-platform-alphaedgetm-for-l2-driverless-cars-and-autonomous-systems/,trivedi2019alphaics
AlphaIC,RAP-E,AlphaIC,USA,3.00E+13,int8,3,dataflow,inference,Chip,6/13/20,No longer in business - 9-Jul-2025,https://www.eenewsanalog.com/news/indo-us-startup-preps-agent-based-ai-processor/page/0/1,clarke2018indo
Amazon,Inferentia,AWSi1,USA,6.33E+13,int8,200,tensor,inference,Card,6/22/25,,https://www.nextplatform.com/2023/12/04/how-aws-can-undercut-nvidia-with-homegrown-ai-compute-engines/,morgan2023how
Amazon,Inferentia2,AWSi2,USA,3.80E+14,int8,300,tensor,inference,Card,6/22/25,,https://www.nextplatform.com/2023/12/04/how-aws-can-undercut-nvidia-with-homegrown-ai-compute-engines/,morgan2023how
Amazon,Trainium,AWSt1,USA,1.90E+14,fp16,300,tensor,training,Card,6/22/25,,https://www.nextplatform.com/2023/12/04/how-aws-can-undercut-nvidia-with-homegrown-ai-compute-engines/,morgan2023how
AMD,Radeon Instinct MI6,AMD-MI8,USA,8.19E+12,fp16,150,GPU,inference,Card,6/14/20,,https://blog.exxactcorp.com/taking-deeper-look-amd-radeon-instinct-gpus-deep-learning/,exxactcorp2017taking
AMD,Radeon Instinct MI60,AMD-MI60,USA,2.95E+13,fp16,300,GPU,training,Card,6/9/20,,https://www.anandtech.com/show/13562/amd-announces-radeon-instinct-mi60-mi50-accelerators-powered-by-7nm-vega,smith2018amd
AMD,MI100,AMD-MI100,USA,9.23E+13,fp16,300,GPU,training,Card,7/31/23,,https://www.anandtech.com/show/17054/amd-announces-instinct-mi200-accelerator-family-cdna2-exacale-servers,smith2021amd
AMD,MI210,AMD-MI210,USA,1.81E+14,fp16,300,GPU,training,Card,7/31/23,,https://www.nextplatform.com/2023/06/14/the-third-time-charm-of-amds-instinct-gpu/,morgan2023third
AMD,MI250,AMD-MI250,USA,3.62E+14,fp16,550,GPU,training,Card,7/31/23,,https://www.nextplatform.com/2023/06/14/the-third-time-charm-of-amds-instinct-gpu/,morgan2023third
AMD,MI300X,AMD-MI300X,USA,7.66E+14,fp16,700,GPU,training,Card,7/31/23,,https://www.nextplatform.com/2023/06/14/the-third-time-charm-of-amds-instinct-gpu/,morgan2023third
AMD,MI325X,AMD-MI325X,USA,2.61E+15,fp16,1000,GPU,training,Card,6/6/25,,https://www.nextplatform.com/2024/10/10/amd-gives-nvidia-some-serious-heat-in-gpu-compute/,morgan2024amd
AMD,MI350X,AMD-MI350X,USA,4.60E+15,fp16,1000,GPU,training,Card,6/22/25,,https://www.tomshardware.com/pc-components/gpus/amd-announces-mi350x-and-mi355x-ai-gpus-claims-up-to-4x-generational-gain-up-to-35x-faster-inference-performance,alcorn2025amd
AMD,MI355X,AMD-MI355X,USA,5.00E+15,fp16,1400,GPU,training,Card,6/22/25,,https://www.tomshardware.com/pc-components/gpus/amd-announces-mi350x-and-mi355x-ai-gpus-claims-up-to-4x-generational-gain-up-to-35x-faster-inference-performance,alcorn2025amd
ARM,Ethos N77,Ethos,UK,4.10E+12,int8,0.8,tensor,inference,Chip,6/13/20,,https://fuse.wikichip.org/news/3282/arm-ethos-is-for-ubiquitous-ai-at-the-edge/,schor2020arm
Aspinity,AML100,AML100,USA,4.00E+11,int8,0.02,analog,inference,Chip,7/11/25,,https://www.aspinity.com/aml100/;https://www.allaboutcircuits.com/news/aspinity-takes-on-tinyml-claiming-industrys-first-fully-analog-ml-chip/,aspinity2025aml100;hertz2022aspinity
Aspinity,AML200,AML200,USA,2.00E+12,int8,0.1,analog,inference,Chip,7/11/25,,https://www.aspinity.com/aml200/;https://www.allaboutcircuits.com/news/aspinity-takes-on-tinyml-claiming-industrys-first-fully-analog-ml-chip/,aspinity2025aml200;hertz2022aspinity
Axelera,Axelera Test Core,Axelera,Netherlands,3.91E+13,int8,2.79,manycore,inference,Chip,7/9/22,Test chip - technology explanation: https://axelera.ai/technology,https://www.eetimes.com/axelera-demos-ai-test-chip-after-taping-out-in-four-months/,ward2022axelera
