node_nm,plotted_cost_musd,source_value_musd,evidence_type,source,accounting_boundary
65,30,30,stated-approximation,"Semiconductor Industry Association, Chip Design and R&D [@SemiconductorIndustryAssociation2026ChipDesign]","New chip on latest manufacturing node in 2006; public association summary"
10,175,175,stated-approximation,"McKinsey, Semiconductor Design and Manufacturing (2020) [@BauerEtAl2020SemiconductorDesignManufacturing]","Design cost including validation through IP qualification"
7,300,300,stated-approximation,"McKinsey, Semiconductor Design and Manufacturing (2020) [@BauerEtAl2020SemiconductorDesignManufacturing]","Design cost including validation through IP qualification"
5,540,540,stated-approximation,"McKinsey, Semiconductor Design and Manufacturing (2020) [@BauerEtAl2020SemiconductorDesignManufacturing]","Design cost including validation through IP qualification"
5,540,542,rounded-cross-check,"Semiconductor Industry Association, Chip Design and R&D [@SemiconductorIndustryAssociation2026ChipDesign]","SIA page displays $542M and describes the cost as over $540M for a new latest-node chip in 2020"
2,725,725,secondary-reported-estimate,"Shilov, Tom's Hardware report of an IBS slide [@Shilov2023IBSDesignCost]","Fairly large chip developed from scratch by a company without reusable IP; not a universal design price"
2,725,725,source-transcribed,"Arm Holdings plc, Form 424B4, SEC, September 14, 2023 [@ArmHoldings2023Prospectus]","fig-design-cost-composition total; cited to IBS July 2022; primary-source cross-check for the Tom's Hardware anchor"
2,314,314,source-transcribed,"Shilov, Tom's Hardware report of an IBS slide [@Shilov2023IBSDesignCost]","fig-design-cost-composition software development component of the 2 nm total"
2,154,154,source-transcribed,"Shilov, Tom's Hardware report of an IBS slide [@Shilov2023IBSDesignCost]","fig-design-cost-composition verification component of the 2 nm total"
2,46,46,derived,"Arm Holdings plc, Form 424B4 [@ArmHoldings2023Prospectus]","fig-design-cost-composition IP qualification; residual after software and verification from the filing's statement that the three total 71 percent"
